"number","width_m","POINT_X","POINT_Y","order","source"
4281,585.33,-90.32804753,38.39909255,12,"Mississippi: Continental"
5801,1644.88,-90.95428583,34.01990335,12,"Mississippi: Continental"
7889,1534,-91.14564854,32.62195005,12,"Mississippi: Continental"
7985,99.16,-91.09452031,32.22310337,12,"Mississippi: Continental"
8009,767.03,-91.49279954,31.3558978,12,"Mississippi: Continental"
8025,1102.02,-91.4992044,30.7337271,12,"Mississippi: Continental"
8033,726.57,-90.25326871,29.9703717,12,"Mississippi: Continental"
13,2.93,-96.56301717,38.94655397,4,"McDowell: Local"
17,3.64,-96.56473138,38.95240052,4,"McDowell: Local"
25,1.55,-96.58329657,38.95091064,4,"McDowell: Local"
26,4.92,-96.5873935,38.95135609,4,"McDowell: Local"
27,6.09,-96.58905582,38.9537453,4,"McDowell: Local"
28,2.55,-96.58923452,38.95405415,4,"McDowell: Local"
29,2.94,-96.58943294,38.95584043,4,"McDowell: Local"
30,1.78,-96.58845153,38.9570483,4,"McDowell: Local"
31,2.48,-96.5880103,38.95876576,4,"McDowell: Local"
32,2.4,-96.58902905,38.96215076,4,"McDowell: Local"
33,2.18,-96.589481,38.96745926,4,"McDowell: Local"
34,3.44,-96.58930154,38.96838143,4,"McDowell: Local"
35,2.16,-96.5369592,38.95260274,4,"McDowell: Local"
36,1.42,-96.53914668,38.95335659,4,"McDowell: Local"
39,1.77,-96.54357154,38.95668806,5,"McDowell: Local"
40,2.72,-96.54413133,38.95676879,5,"McDowell: Local"
41,2.06,-96.54807221,38.95968474,5,"McDowell: Local"
42,5.31,-96.54796481,38.95978496,5,"McDowell: Local"
43,3.53,-96.54786382,38.96134142,5,"McDowell: Local"
44,4.05,-96.547598,38.96290133,5,"McDowell: Local"
48,1.37,-96.56182343,38.95909067,4,"McDowell: Local"
51,2.11,-96.56577589,38.96253868,4,"McDowell: Local"
52,2.5,-96.57782929,38.96767743,4,"McDowell: Local"
53,3.11,-96.57804599,38.96795112,4,"McDowell: Local"
54,5.32,-96.57882709,38.96868231,4,"McDowell: Local"
55,3.43,-96.58188807,38.97026405,4,"McDowell: Local"
56,1.42,-96.58554606,38.97060853,4,"McDowell: Local"
57,6.59,-96.58717427,38.97064952,4,"McDowell: Local"
58,1.33,-96.52699039,38.95817846,4,"McDowell: Local"
59,0.82,-96.53011676,38.95857929,4,"McDowell: Local"
60,0.82,-96.53398861,38.95875706,4,"McDowell: Local"
61,2.55,-96.53502786,38.95911496,4,"McDowell: Local"
62,2.75,-96.53842389,38.95791864,4,"McDowell: Local"
